date,darshans,weekend,weekday,summer,temp_max,temp_min,humidity,rainfall,rolling_avg_8,google_trend_score,is_public_holiday,is_festival,is_brahmostavam,rolling_avg_7,day,month
2013-10-16,63426,0,1,0,31.5,24.3,80,4.7,58666.25,60,1,0,0,61020.57142857143,16,10
2013-10-17,56136,0,1,0,30.9,23.4,83,1.0,58666.25,80,0,0,0,61020.57142857143,17,10
2013-10-18,62341,0,1,0,30.5,24.1,81,0.4,58666.25,50,0,0,0,61020.57142857143,18,10
2013-10-19,71231,1,0,0,30.8,24.0,80,1.1,58666.25,53,0,0,0,61020.57142857143,19,10
2013-10-20,72279,1,0,0,25.4,23.3,92,8.8,58666.25,39,0,0,0,61020.57142857143,20,10
2013-10-21,57964,0,0,0,24.4,23.2,95,27.5,58666.25,66,0,0,0,61020.57142857143,21,10
2013-10-22,43767,0,0,0,24.2,22.6,93,13.0,58666.25,60,0,0,0,61020.57142857143,22,10
2013-10-23,42186,0,1,0,26.5,22.9,89,6.8,58666.25,52,0,0,0,61020.57142857143,23,10
2013-10-24,49504,0,1,0,28.6,22.7,89,18.3,58666.25,92,0,0,0,57986.28571428572,24,10
2013-10-25,39816,0,1,0,29.1,23.4,88,19.6,56926.0,85,0,0,0,57038.857142857145,25,10
2013-10-26,62184,1,0,0,30.9,23.4,84,2.2,54886.0,59,0,0,0,53821.0,26,10
2013-10-27,57762,1,0,0,30.6,23.8,77,0.0,54866.375,0,0,0,0,52528.57142857143,27,10
2013-10-28,38251,0,0,0,30.2,24.0,84,1.8,53182.75,63,0,0,0,50454.71428571428,28,10
2013-10-29,40042,0,0,0,30.5,23.1,80,0.2,48929.25,64,0,0,0,47638.57142857143,29,10
2013-10-30,37671,0,1,0,29.9,22.9,80,0.0,46689.0,64,0,0,0,47106.42857142857,30,10
2013-10-31,42474,0,1,0,30.1,21.7,79,0.0,45927.0,55,0,0,0,46461.42857142857,31,10
2013-11-01,52228,0,1,0,29.0,22.4,87,3.3,45963.0,39,0,0,0,45457.142857142855,1,11
2013-11-02,66838,1,0,0,29.3,23.7,90,2.9,46303.5,38,0,0,0,47230.28571428572,2,11
2013-11-03,68003,1,0,0,27.7,22.8,90,4.9,49681.25,62,1,1,0,47895.142857142855,3,11
2013-11-04,69072,0,0,0,28.4,22.6,88,2.0,50408.625,59,0,0,0,49358.142857142855,4,11
2013-11-05,55789,0,0,0,28.3,21.7,82,0.1,51822.375,74,0,0,0,53761.142857142855,5,11
2013-11-06,51815,0,1,0,27.6,21.6,81,1.0,54014.625,68,0,0,0,56010.71428571428,6,11
2013-11-07,50762,0,1,0,28.5,20.3,79,0.0,55486.25,82,0,0,0,58031.28571428572,7,11
2013-11-08,63396,0,1,0,28.7,19.7,77,0.0,57122.625,74,0,0,0,59215.28571428572,8,11
2013-11-09,66768,1,0,0,28.2,18.8,77,0.0,59737.875,60,0,0,0,60810.71428571428,9,11
2013-11-10,67580,1,0,0,28.5,19.4,80,0.0,61555.375,52,0,0,0,60800.71428571428,10,11
2013-11-11,70016,0,0,0,29.4,20.2,79,0.0,61648.125,100,0,0,0,60740.28571428572,11,11
2013-11-12,52872,0,0,0,28.4,19.8,79,0.0,61899.75,97,0,0,0,60875.142857142855,12,11
2013-11-13,46719,0,1,0,29.3,18.2,75,0.0,59874.75,90,0,0,0,60458.42857142857,13,11
2013-11-14,53816,0,1,0,28.6,18.0,76,0.0,58741.0,70,1,0,0,59730.42857142857,14,11
2013-11-15,57969,0,1,0,27.9,17.7,78,0.0,58991.125,72,0,0,0,60166.71428571428,15,11
2013-11-16,67080,1,0,0,23.6,20.4,91,22.7,59892.0,60,0,0,0,59391.42857142857,16,11
2013-11-17,58215,1,0,0,23.1,20.0,97,24.7,60352.5,68,1,0,0,59436.0,17,11
2013-11-18,48658,0,0,0,26.0,21.8,93,6.2,59283.375,69,0,0,0,58098.142857142855,18,11
2013-11-19,46204,0,0,0,28.5,19.0,83,0.0,56918.125,83,0,0,0,55047.0,19,11
2013-11-20,50140,0,1,0,29.2,20.0,80,0.0,53941.625,68,0,0,0,54094.42857142857,20,11
2013-11-21,50104,0,1,0,30.6,19.2,74,0.0,53600.125,90,0,0,0,54583.142857142855,21,11
2013-11-22,52055,0,1,0,30.7,21.2,78,0.0,54023.25,70,0,0,0,54052.857142857145,22,11
2013-11-23,65501,1,0,0,28.3,21.7,87,1.4,53803.125,76,0,0,0,53208.0,23,11
2013-11-24,65880,1,0,0,27.6,22.7,91,4.4,54744.625,58,0,0,0,52982.42857142857,24,11
2013-11-25,51051,0,0,0,28.5,22.0,86,0.9,54594.625,98,0,0,0,54077.42857142857,25,11
2013-11-26,48084,0,0,0,29.5,20.6,80,0.0,53699.125,88,0,0,0,54419.28571428572,26,11
2013-11-27,42862,0,1,0,29.1,20.0,80,0.0,53627.375,70,0,0,0,54687.857142857145,27,11
2013-11-28,48067,0,1,0,23.3,20.3,80,0.0,53209.625,69,0,0,0,53648.142857142855,28,11
2013-11-29,55055,0,1,0,28.6,20.9,78,0.0,52950.5,85,0,0,0,53357.142857142855,29,11
2013-11-30,67041,1,0,0,28.1,19.2,86,0.2,53569.375,68,0,0,0,53785.71428571428,30,11
2013-12-01,66020,1,0,0,28.0,22.0,89,2.1,55442.625,64,0,0,0,54005.71428571428,1,12
2013-12-02,58695,0,0,0,27.9,22.3,93,6.4,55507.5,81,0,0,0,54025.71428571428,2,12
